Number of Vehicles Stopped,Total Waiting Time of All Vehicles,Total CO2 Emissions Released
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,2716.8607719544816
0,0.0,1337.9510357860568
0,0.0,4403.779471404789
0,0.0,0.0
0,0.0,6184.830501748012
0,0.0,0.0
0,0.0,2178.982666252544
0,0.0,4815.925335052578
0,0.0,0.0
0,0.0,6424.715625484451
0,0.0,2413.3118980424906
0,0.0,2859.5538672092202
0,0.0,6166.564420868723
0,0.0,8757.650299063458
0,0.0,6116.696365229386
0,0.0,34025.1406098676
0,0.0,6500.912139023238
0,0.0,26580.41466464129
0,0.0,16038.812496938657
0,0.0,17490.9708242127
0,0.0,8685.25199432525
0,0.0,38366.57047641836
0,0.0,21958.399165628172
0,0.0,34092.427023524695
0,0.0,22317.02697772684
0,0.0,20862.200349169038
0,0.0,17406.564009916237
0,0.0,36081.26027757695
0,0.0,29299.335227710206
0,0.0,7825.0149690342205
0,0.0,20595.53598885127
0,0.0,28575.050097935604
0,0.0,23283.84830865249
0,0.0,9674.332822979122
0,0.0,49075.350301095044
0,0.0,16730.987156248375
0,0.0,42038.62061729346
0,0.0,10951.914393963394
0,0.0,34970.321225216394
0,0.0,19872.040509189974
0,0.0,33830.54470460085
0,0.0,27288.78989602121
0,0.0,43291.804021934775
0,0.0,6483.903885718471
0,0.0,31452.731965822375
0,0.0,15594.409523443946
0,0.0,21660.90019749943
0,0.0,39396.63742171347
0,0.0,28314.907118479674
0,0.0,43066.487274791165
0,0.0,56249.61140812078
0,0.0,44844.23924914814
0,0.0,31088.9389233238
0,0.0,50429.149864398125
0,0.0,49732.83030939277
0,0.0,31174.923385894217
0,0.0,20196.9506073884
0,0.0,55911.52001965426
0,0.0,52473.479603729385
0,0.0,21748.640182148974
0,0.0,27165.958847234146
0,0.0,40623.613130911384
0,0.0,41321.71691796633
0,0.0,82819.23687813568
0,0.0,60935.02493178624
0,0.0,68001.93037037476
0,0.0,58956.94349292076
0,0.0,90514.44019723541
0,0.0,100851.99954976265
0,0.0,67956.94727662989
0,0.0,78807.19153773447
0,0.0,115389.99625369027
0,0.0,27091.285284981695
0,0.0,102842.36673105
0,0.0,110203.82195360957
0,0.0,67509.66882898743
0,0.0,85209.03127490928
0,0.0,51256.38029425425
0,0.0,46316.832183686
0,0.0,85544.68486828562
0,0.0,72342.06695653763
0,0.0,94525.51874052278
0,0.0,80827.8509867549
0,0.0,66370.81121949601
0,0.0,38128.91816954495
0,0.0,89551.25666964517
0,0.0,21569.720789132924
0,0.0,70966.96874449291
0,0.0,106336.85920585848
0,0.0,77862.77940771647
0,0.0,98584.07649257014
0,0.0,43236.6836162695
1,1.0,51773.04782474147
1,2.0,85187.57685964329
2,4.0,97598.46656792081
2,6.0,47290.39398150154
3,9.0,49232.24947623804
3,12.0,75589.92974844993
3,15.0,64364.07114144665
3,18.0,68479.79806275107
3,21.0,30505.556637402253
3,24.0,56757.22114775151
3,27.0,50429.07620765026
3,30.0,54479.66564903666
3,33.0,23876.541372865
4,37.0,21753.43814660037
4,41.0,32149.244374065187
5,31.0,23866.53793312578
5,22.0,24726.971699489568
4,13.0,35309.93424356552
4,12.0,43347.76760541438
3,11.0,38182.530405528945
2,9.0,45257.627862744244
2,11.0,40034.68641578569
1,8.0,76701.22507200843
1,9.0,51341.894416540235
2,11.0,37977.74697416536
2,13.0,71582.17534224082
