Number of Vehicles Stopped,Total Waiting Time of All Vehicles,Total CO2 Emissions Released
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4779.632919602306
0,0.0,1450.16358151824
0,0.0,4403.779471404789
0,0.0,0.0
0,0.0,6184.830501748012
0,0.0,0.0
0,0.0,2178.982666252544
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4438.969526554832
0,0.0,0.0
0,0.0,2620.911392712448
0,0.0,3107.990645113956
0,0.0,0.0
0,0.0,6578.893194428139
0,0.0,33769.38423352418
0,0.0,21605.902083643152
0,0.0,18706.47253506632
0,0.0,3452.8201722998892
0,0.0,13315.449771709305
0,0.0,33442.04919510451
0,0.0,11092.360299824426
0,0.0,0.0
0,0.0,3293.471528924797
0,0.0,5719.294316149498
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4571.119792400939
0,0.0,1310.2234743967354
0,0.0,6871.1971619484375
0,0.0,0.0
0,0.0,11012.625376706232
0,0.0,2591.6970301614874
0,0.0,5154.681989869429
0,0.0,7378.916928236075
0,0.0,0.0
0,0.0,0.0
0,0.0,2794.080762320467
0,0.0,2873.7657498996123
0,0.0,0.0
0,0.0,6028.585420841185
0,0.0,0.0
0,0.0,18008.82551227554
0,0.0,36120.10071409768
0,0.0,20225.57178575467
0,0.0,49366.110910273455
0,0.0,0.0
0,0.0,19810.080599431793
0,0.0,31007.777453589428
0,0.0,15229.011078676504
0,0.0,5291.299447861476
0,0.0,8823.236641197938
1,1.0,13723.208685975129
1,2.0,42584.823028396146
1,3.0,12460.416823247258
1,4.0,14725.597250970797
0,0.0,37441.25141236561
0,0.0,20572.477209048953
0,0.0,35395.01482547661
0,0.0,2346.799766886575
0,0.0,3501.5479224233827
0,0.0,0.0
0,0.0,7456.121402732979
0,0.0,0.0
0,0.0,8472.517127858304
0,0.0,5135.551326459958
0,0.0,4559.44043155197
0,0.0,9955.30359111249
1,1.0,3918.7537548548507
1,2.0,11596.013903699004
1,3.0,1997.6341059168021
1,4.0,1997.7678309772905
1,5.0,4620.1193784428315
1,6.0,11281.839102939542
2,8.0,10136.025112754542
2,10.0,4619.126877427934
1,3.0,5894.099245259908
0,0.0,11959.198096698026
0,0.0,20524.78894884562
0,0.0,34032.354247207026
0,0.0,38459.64471446963
1,1.0,31502.402033548475
1,2.0,3618.0924293669473
1,3.0,4556.075635484913
2,5.0,3843.9181861653806
2,7.0,5807.973149864461
2,4.0,11371.313086159344
1,2.0,17824.008719146426
1,1.0,12463.658284858047
0,0.0,13375.473128366688
0,0.0,18883.28549184537
0,0.0,15659.434283495913
0,0.0,20353.50670435965
0,0.0,14849.20078006775
0,0.0,17498.7948089121
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
